dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,unif,nan,zero,66,0.10078035295009613,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,mean,66,0.08401302248239517,0.9421599638499775
mmlu-pro,None,1.0,0.025,unif,nan,zero,67,0.10084090381860733,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,mean,67,0.08398649841547012,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,zero,68,0.1007983386516571,0.9579755987347492
mmlu-pro,None,1.0,0.025,unif,nan,mean,68,0.08394245058298111,0.9570718481699051
mmlu-pro,None,1.0,0.025,unif,nan,zero,69,0.10076133906841278,0.9534568459105287
mmlu-pro,None,1.0,0.025,unif,nan,mean,69,0.08383120596408844,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,zero,70,0.10076534748077393,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,mean,70,0.08391262590885162,0.938996836873023
mmlu-pro,None,1.0,0.025,unif,nan,zero,71,0.1007925495505333,0.9543605964753729
mmlu-pro,None,1.0,0.025,unif,nan,mean,71,0.08403510600328445,0.9502937189335744
mmlu-pro,None,1.0,0.025,unif,nan,zero,72,0.10081464797258377,0.955716222322639
mmlu-pro,None,1.0,0.025,unif,nan,mean,72,0.08394893258810043,0.94713059195662
mmlu-pro,None,1.0,0.025,unif,nan,zero,73,0.10085400193929672,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,mean,73,0.08402662724256516,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,zero,74,0.10083737969398499,0.956168097605061
mmlu-pro,None,1.0,0.025,unif,nan,mean,74,0.0840080976486206,0.9566199728874831
mmlu-pro,None,1.0,0.025,unif,nan,zero,75,0.10070547461509705,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,mean,75,0.08388636261224747,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,zero,76,0.10089879482984543,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,mean,76,0.08406366407871246,0.9534568459105287
mmlu-pro,None,1.0,0.025,unif,nan,zero,77,0.10088495165109634,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,mean,77,0.08414091914892197,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,zero,78,0.10084902495145798,0.9493899683687302
mmlu-pro,None,1.0,0.025,unif,nan,mean,78,0.08409222960472107,0.9448712155445097
mmlu-pro,None,1.0,0.025,unif,nan,zero,79,0.1007377877831459,0.9534568459105287
mmlu-pro,None,1.0,0.025,unif,nan,mean,79,0.08395900577306747,0.9530049706281066
mmlu-pro,None,1.0,0.025,unif,nan,zero,80,0.10073191672563553,0.9611387257117036
mmlu-pro,None,1.0,0.025,unif,nan,mean,80,0.08387879282236099,0.956168097605061
mmlu-pro,None,1.0,0.025,unif,nan,zero,81,0.10075615346431732,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,mean,81,0.08394400775432587,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,zero,82,0.1007692739367485,0.9552643470402169
mmlu-pro,None,1.0,0.025,unif,nan,mean,82,0.08391943573951721,0.9484862178038862
mmlu-pro,None,1.0,0.025,unif,nan,zero,83,0.10074137896299362,0.9502937189335744
mmlu-pro,None,1.0,0.025,unif,nan,mean,83,0.08385509997606277,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,zero,84,0.10081891715526581,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,mean,84,0.08399359881877899,0.9502937189335744
