dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,0,0.11237361282110214,0.9023508137432188
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,1,0.11019247770309448,0.906871609403255
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,2,0.11284510791301727,0.8955696202531646
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,3,0.11178784817457199,0.9064195298372514
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,4,0.11358629167079926,0.9041591320072332
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,5,0.1141122505068779,0.9113924050632911
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,6,0.1143287792801857,0.903254972875226
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,7,0.11229444295167923,0.8951175406871609
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,8,0.1103605329990387,0.909132007233273
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,9,0.11420951783657074,0.897377938517179
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,10,0.11534040421247482,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,11,0.11219719797372818,0.9095840867992766
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,12,0.11268728226423264,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,13,0.11315401643514633,0.9037070524412296
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,14,0.11274820566177368,0.9077757685352622
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,15,0.1124408170580864,0.9000904159132007
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,16,0.11183856427669525,0.9136528028933092
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,17,0.11463242769241333,0.9014466546112115
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,18,0.11207125335931778,0.9005424954792043
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,19,0.11447345465421677,0.906871609403255
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,20,0.11208433657884598,0.9082278481012658
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,21,0.11467213183641434,0.9073236889692585
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,22,0.1121450662612915,0.9104882459312839
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,23,0.11308014392852783,0.8960216998191681
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,24,0.11434966325759888,0.9118444846292947
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,25,0.11282576620578766,0.9145569620253164
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,26,0.11255570501089096,0.9113924050632911
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,27,0.11419206112623215,0.9018987341772151
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,28,0.11389917880296707,0.9195298372513562
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,29,0.11352933943271637,0.9145569620253164
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,30,0.11317965388298035,0.9159132007233273
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,31,0.11458272486925125,0.9141048824593128
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.05,32,0.11218752712011337,0.9127486437613019
bbh+gpqa+ifeval+math+musr,None,1.0,0.025,0.25,0,0.09828408062458038,0.9412296564195298
