dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,unif,nan,zero,66,0.10089541971683502,0.9462268413917759
mmlu-pro,None,1.0,0.025,unif,nan,mean,66,0.08387947082519531,0.9444193402620877
mmlu-pro,None,1.0,0.025,unif,nan,zero,67,0.10077865421772003,0.9584274740171713
mmlu-pro,None,1.0,0.025,unif,nan,mean,67,0.08398456871509552,0.955716222322639
mmlu-pro,None,1.0,0.025,unif,nan,zero,68,0.10083175450563431,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,mean,68,0.08407355844974518,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,zero,69,0.1007508635520935,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,69,0.08373565226793289,0.9457749661093539
mmlu-pro,None,1.0,0.025,unif,nan,zero,70,0.1007658913731575,0.9534568459105287
mmlu-pro,None,1.0,0.025,unif,nan,mean,70,0.08394711464643478,0.955716222322639
mmlu-pro,None,1.0,0.025,unif,nan,zero,71,0.10070401430130005,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,71,0.08384094387292862,0.9489380930863082
mmlu-pro,None,1.0,0.025,unif,nan,zero,72,0.10094688087701797,0.9435155896972436
mmlu-pro,None,1.0,0.025,unif,nan,mean,72,0.0840730294585228,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,zero,73,0.10072308033704758,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,73,0.08392008394002914,0.9489380930863082
mmlu-pro,None,1.0,0.025,unif,nan,zero,74,0.10079524666070938,0.947582467239042
mmlu-pro,None,1.0,0.025,unif,nan,mean,74,0.08385682851076126,0.9516493447808405
mmlu-pro,None,1.0,0.025,unif,nan,zero,75,0.10080994665622711,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,mean,75,0.08407370746135712,0.9362855851784908
mmlu-pro,None,1.0,0.025,unif,nan,zero,76,0.10070817917585373,0.9417080885675554
mmlu-pro,None,1.0,0.025,unif,nan,mean,76,0.08369239419698715,0.9435155896972436
mmlu-pro,None,1.0,0.025,unif,nan,zero,77,0.1007426455616951,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,mean,77,0.08392692357301712,0.9444193402620877
mmlu-pro,None,1.0,0.025,unif,nan,zero,78,0.10083404928445816,0.9530049706281066
mmlu-pro,None,1.0,0.025,unif,nan,mean,78,0.08395817875862122,0.9534568459105287
mmlu-pro,None,1.0,0.025,unif,nan,zero,79,0.10075073689222336,0.9462268413917759
mmlu-pro,None,1.0,0.025,unif,nan,mean,79,0.08390865474939346,0.9385449615906011
mmlu-pro,None,1.0,0.025,unif,nan,zero,80,0.10080834478139877,0.9462268413917759
mmlu-pro,None,1.0,0.025,unif,nan,mean,80,0.08394933491945267,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,zero,81,0.10069898515939713,0.9575237234523272
mmlu-pro,None,1.0,0.025,unif,nan,mean,81,0.08400122076272964,0.955716222322639
mmlu-pro,None,1.0,0.025,unif,nan,zero,82,0.1007630005478859,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,mean,82,0.08390659838914871,0.9448712155445097
mmlu-pro,None,1.0,0.025,unif,nan,zero,83,0.10077127069234848,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,83,0.08394452184438705,0.9480343425214641
mmlu-pro,None,1.0,0.025,unif,nan,zero,84,0.10081508010625839,0.9543605964753729
mmlu-pro,None,1.0,0.025,unif,nan,mean,84,0.08394242823123932,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,zero,85,0.10070188343524933,0.9376412110257569
mmlu-pro,None,1.0,0.025,unif,nan,mean,85,0.08398181200027466,0.9412562132851333
mmlu-pro,None,1.0,0.025,unif,nan,zero,86,0.10097542405128479,0.956168097605061
mmlu-pro,None,1.0,0.025,unif,nan,mean,86,0.08404052257537842,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,zero,87,0.10075021535158157,0.9435155896972436
mmlu-pro,None,1.0,0.025,unif,nan,mean,87,0.0838366150856018,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,zero,88,0.10064645111560822,0.938996836873023
mmlu-pro,None,1.0,0.025,unif,nan,mean,88,0.08380770683288574,0.946678716674198
mmlu-pro,None,1.0,0.025,unif,nan,zero,89,0.10071364790201187,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,mean,89,0.08390659093856812,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,zero,90,0.10083205997943878,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,90,0.08409959822893143,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,zero,91,0.1006658747792244,0.9525530953456847
mmlu-pro,None,1.0,0.025,unif,nan,mean,91,0.08378563076257706,0.9507455942159965
mmlu-pro,None,1.0,0.025,unif,nan,zero,92,0.1007675901055336,0.9552643470402169
mmlu-pro,None,1.0,0.025,unif,nan,mean,92,0.08398976176977158,0.9498418436511523
mmlu-pro,None,1.0,0.025,unif,nan,zero,93,0.10077594965696335,0.9426118391323995
mmlu-pro,None,1.0,0.025,unif,nan,mean,93,0.08395998179912567,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,zero,94,0.10080145299434662,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,mean,94,0.08395946025848389,0.9570718481699051
mmlu-pro,None,1.0,0.025,unif,nan,zero,95,0.10081861913204193,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,mean,95,0.0838361382484436,0.9521012200632626
mmlu-pro,None,1.0,0.025,unif,nan,zero,96,0.10071180760860443,0.9439674649796657
mmlu-pro,None,1.0,0.025,unif,nan,mean,96,0.0838356614112854,0.9412562132851333
mmlu-pro,None,1.0,0.025,unif,nan,zero,97,0.10079488903284073,0.9511974694984184
mmlu-pro,None,1.0,0.025,unif,nan,mean,97,0.08392011374235153,0.9435155896972436
mmlu-pro,None,1.0,0.025,unif,nan,zero,98,0.10079031437635422,0.9502937189335744
mmlu-pro,None,1.0,0.025,unif,nan,mean,98,0.08400540053844452,0.9521012200632626
