step,A_s,A_s_se,B_s,B_s_se,v_s,B_over_A
0,0.24266944825649261,0.0,0.011871262453496456,0.0,0.23079818580299616,0.04891947683891782
1,0.2423201652467251,6.306569675527811e-05,0.01112000347301364,6.848558808137088e-06,0.23120016177371144,0.04588971562350783
2,0.24110362884402275,7.993246221362682e-05,0.010416576048359275,8.5496596575362e-06,0.23068705279566348,0.043203729857994276
3,0.23927637454867362,8.617841602236222e-05,0.009763010777533054,9.37459206341577e-06,0.22951336377114057,0.04080223463744876
4,0.23713969913125038,9.029721267724373e-05,0.009169565441086889,9.726725067358194e-06,0.2279701336901635,0.038667357151413874
5,0.23482155674695968,9.259370553049401e-05,0.008620692346245051,9.832673646173708e-06,0.22620086440071463,0.0367116736030099
6,0.23226247370243072,9.062530613634942e-05,0.008118287108838558,9.820885178725487e-06,0.22414418659359217,0.03495307261404405
7,0.2297455338537693,9.04607333164982e-05,0.0076595608741045,9.604551510423757e-06,0.22208597297966481,0.03333932436301344
8,0.22721405622363092,8.85861123551659e-05,0.00725015411246568,9.24753997261648e-06,0.21996390211116523,0.03190891546485073
9,0.22468476837873458,8.566141301972265e-05,0.006867564612068236,8.956482709158075e-06,0.21781720376666636,0.030565332317017982
10,0.22223391747474672,8.705274572387022e-05,0.006516643714159727,8.798583419008326e-06,0.215717273760587,0.029323353465612368
11,0.2197928920984268,8.51856505890814e-05,0.006196634624153376,8.677863957047207e-06,0.21359625747427344,0.028193061954789798
12,0.21742127135396003,8.217159013789714e-05,0.005896198525093496,8.309206745920623e-06,0.21152507282886654,0.02711877494035316
13,0.21519526755809784,8.025869034155649e-05,0.0056243968671187755,7.892177373730597e-06,0.20957087069097907,0.026136247933985425
14,0.21298348426818847,7.889791394595391e-05,0.005370213490910828,7.5247358241542105e-06,0.20761327077727765,0.025214224987270203
15,0.21087012493610383,7.862446439162957e-05,0.005139228739775717,7.412909612501252e-06,0.20573089619632812,0.024371535518997605
16,0.2088072362244129,7.640174817895025e-05,0.0049189318660646675,7.067308838276189e-06,0.20388830435834823,0.02355728639968257
