seed,T1,T2,T3,Bhat_minus_Bn,sigma_bar_sq,T1_over_sigma,T2_over_sigma,T3_over_sigma
0,0.0005986233591102064,-0.0004014600708615035,7.867231033742428e-06,0.00042285022048070195,0.04302780241851413,0.013912478106309908,-0.009330248079059739,0.00018284064236469795
1,0.00053520651999861,-0.0003683218965306878,7.867231033742428e-06,0.0003852734501211684,0.043049221061398774,0.012432432150985355,-0.008555831846652236,0.00018274967211420206
2,0.0005581430741585791,-0.0003790035843849182,7.867231033742428e-06,0.0004032523122424448,0.04296880275304119,0.01298949559675771,-0.008820436225863742,0.00018309169745683943
3,0.0006190796266309917,-0.0003858265408780426,7.867231033742428e-06,0.00045817013436318815,0.04293000881332388,0.014420673178125516,-0.008987338962723352,0.00018325714928110455
4,0.0005417781649157405,-0.0003878498973790556,7.867231033742428e-06,0.0003794495989745241,0.04301481648229951,0.012595152303827238,-0.009016658191222434,0.0001828958409477296
5,0.0005684067727997899,-0.0003829041088465601,7.867231033742428e-06,0.0004090633576582357,0.04297282585745501,0.013227121127320083,-0.008910377691164408,0.0001830745564613039
6,0.0005663242773152888,-0.00040675193304196,7.867231033742428e-06,0.00039099808617046403,0.043079360879529266,0.013146069620183212,-0.009441921252718562,0.00018262181409197347
7,0.0005248879315331578,-0.00039734545862302184,7.867231033742428e-06,0.00035545360716176286,0.0429681995815508,0.012215730159625498,-0.009247430948762153,0.00018309426762950457
8,0.000581489410251379,-0.00039795777411200106,7.867231033742428e-06,0.0004135668552345574,0.04312310870896521,0.013484403783962089,-0.009228411077637971,0.00018243654665153688
9,0.0004765263292938471,-0.0003874126705341041,7.867231033742428e-06,0.00031512300322331067,0.04287707438706223,0.011113779009083571,-0.009035426881900375,0.0001834833916774017
10,0.0005386770935729146,-0.00039388646837323904,7.867231033742428e-06,0.00037679300128566596,0.04297623441075989,0.012534301828874212,-0.009165215933265254,0.0001830600363575065
11,0.0005809502326883376,-0.00041256024269387126,7.867231033742428e-06,0.00040429091145469706,0.043060660888729875,0.013491437908710494,-0.009580908285637792,0.00018270112142662197
12,0.0006351359188556671,-0.0003943626943510026,7.867231033742428e-06,0.00047104415552108093,0.04306705557745119,0.014747604876619613,-0.0091569458153875,0.00018267399357251414
13,0.0005799518548883498,-0.0003920632298104465,7.867231033742428e-06,0.0004159566871822694,0.04293570298556895,0.013507449850845028,-0.009131403530116235,0.000183232845550163
14,0.0005285872030071914,-0.0003892099193762988,7.867231033742428e-06,0.0003672580043799029,0.043051594728987376,0.012277993564110289,-0.00904054592696045,0.00018273959613499023
15,0.0005472559714689851,-0.00038875621976330876,7.867231033742428e-06,0.00038642884302057226,0.042937814270689274,0.01274531507400365,-0.009053935938902372,0.000183223835851208
16,0.0005610987427644432,-0.0004018738982267678,7.867231033742428e-06,0.0003890060162985541,0.04287890198737279,0.013085660237514443,-0.00937229918679153,0.00018347557118088547
17,0.0005624775658361614,-0.0003846727777272463,7.867231033742428e-06,0.0004031378759726627,0.0429878718789742,0.013084564116589236,-0.00894840244267578,0.00018301047923217545
18,0.0005573004600591958,-0.00039313483284786344,7.867231033742428e-06,0.0003890790960504537,0.04296854212924202,0.012969964360972067,-0.009149364008333844,0.0001830928079914637
19,0.0005353568703867495,-0.00038695387775078416,7.867231033742428e-06,0.00037250417357264916,0.04290966606635683,0.012476369999217826,-0.009017872037325734,0.00018334402839621962
20,0.0005184975452721119,-0.0003953846462536603,7.867231033742428e-06,0.0003532592947452074,0.04287432607306149,0.012093427296992332,-0.009221944283856295,0.00018349515326109144
21,0.00048040071851573884,-0.0003809945483226329,7.867231033742428e-06,0.0003242440563850504,0.04284394882445623,0.011212802080500945,-0.00889261048003944,0.00018362525513175028
22,0.0005762618966400623,-0.00038618381950072944,7.867231033742428e-06,0.00041608503508881733,0.043116937987330496,0.013365093245011773,-0.00895666152392839,0.00018246265623162152
23,0.0005140036228112876,-0.00040082880877889693,7.867231033742428e-06,0.0003447669425270959,0.043039514369157,0.011942598106535172,-0.009313042088275492,0.0001827908876076968
