step,A_s,A_s_se,B_s,B_s_se,v_s,B_over_A
0,0.2887793481349945,0.0,0.02129659801721573,0.0,0.2674827501177788,0.0737469564730103
1,0.28573948472738264,0.00018017042105066369,0.018767224431037902,1.2785537877271711e-05,0.26697226029634474,0.06567949280423485
2,0.2815410938858986,0.0002187576453427908,0.01675705762207508,1.415955833242004e-05,0.2647840362638235,0.05951904708044605
3,0.2760608044266701,0.0002379216010702434,0.015093292938545347,1.5373835496798587e-05,0.26096751148812475,0.05467379902007991
4,0.2700242891907692,0.00024330366710769599,0.013716820247471333,1.5307214139585727e-05,0.25630746894329787,0.050798468125141695
5,0.2635728539228439,0.000233439611962165,0.012556565599516034,1.5113835669900174e-05,0.2510162883233279,0.04763982865698202
6,0.25710714119672773,0.00023080307082836102,0.011559660363942384,1.4963933852940524e-05,0.24554748083278535,0.0449604795500309
7,0.2504662458598614,0.00023018278746079853,0.010703519830480217,1.4246539091332847e-05,0.23976272602938117,0.042734380410160956
8,0.24403759583830834,0.00022593316511090056,0.009952041393145919,1.3615367335948132e-05,0.2340855544451624,0.040780771335494674
9,0.2378404951095581,0.00021779442207872914,0.009288364654406906,1.329784982120311e-05,0.2285521304551512,0.03905291506447774
10,0.23181875056028367,0.00020867578868574179,0.00868649272620678,1.242833758809497e-05,0.2231322578340769,0.03747105316206027
11,0.22621519070863724,0.00020161691084004987,0.008154349753633142,1.1819595482061427e-05,0.2180608409550041,0.03604687080513465
12,0.22082506024837495,0.00019417396241342666,0.007678763274103403,1.1650132588731884e-05,0.21314629697427154,0.0347730609264485
13,0.21572556707262994,0.0001865144354188204,0.007245524223893881,1.1314186648656467e-05,0.20848004284873606,0.03358676638200458
14,0.21081787633895874,0.00017730807430819378,0.00684001109469682,1.0695658806559324e-05,0.20397786524426192,0.03244511904530934
15,0.20634417364001273,0.00016898862823073817,0.006488431175239384,1.0376065120306007e-05,0.19985574246477333,0.031444702609142124
16,0.2021015538573265,0.00016519153254575928,0.006155683780089021,9.655616802874292e-06,0.1959458700772375,0.030458369382130642
17,0.19804151386022567,0.00015809560672437573,0.005855682481080294,9.281192243109249e-06,0.19218583137914538,0.02956795455125199
18,0.1942700308561325,0.00015061091755850427,0.005580818134360016,8.844009216193994e-06,0.1886892127217725,0.028727118175489015
19,0.19070650163292885,0.00014227266303158532,0.005327809789218009,8.42340367050865e-06,0.18537869184371084,0.02793722156087241
20,0.1873073586523533,0.00013660762135947566,0.0050916985273361205,8.115535282272393e-06,0.18221566012501716,0.027183654523613397
21,0.18413910776376724,0.00013282858339576037,0.0048769806083291765,7.816622491252622e-06,0.17926212715543807,0.02648530596002384
22,0.18107620656490325,0.00012681130081532992,0.00467493770737201,7.683764699229654e-06,0.17640126885753124,0.025817515155953794
23,0.17820500892400742,0.00012208366888088654,0.004483097580261528,7.260700686335231e-06,0.1737219113437459,0.025156967289136474
24,0.1754721534252167,0.00011775459848370565,0.0043034156407229605,7.023752156094178e-06,0.17116873778449374,0.024524778186853474
25,0.17285497850179674,0.00011210008933951352,0.004137400690931827,6.744168148855964e-06,0.1687175778108649,0.023935675598078424
26,0.17041489985585212,0.00010631681082218399,0.003983898813370615,6.483871096620843e-06,0.1664310010424815,0.023377643719771295
27,0.16809482514858246,0.00010355310075347277,0.0038416241621598603,6.2158295482812335e-06,0.1642532009864226,0.022853910932499975
28,0.16586610907316207,9.926191377087644e-05,0.003707221201620996,5.8087435028268825e-06,0.16215888787154106,0.022350685274625776
29,0.16373528012633323,9.577106319461096e-05,0.0035822601821273565,5.650833393553695e-06,0.1601530199442059,0.021878364756596085
30,0.16168199130892755,9.179736151822225e-05,0.003465106464456767,5.5541964757764846e-06,0.15821688484447077,0.021431616696481366
31,0.15972770303487777,8.884332890051929e-05,0.0033503998438827692,5.367303561618472e-06,0.156377303190995,0.02097569664011999
32,0.1578628263771534,8.620902554378839e-05,0.0032434856556355952,5.2504207704066295e-06,0.1546193407215178,0.020546228203760366
33,0.15607195329666138,8.393032253770094e-05,0.003143345461227,5.164681525967825e-06,0.15292860783543438,0.020140360870938373
34,0.1543689153790474,8.076896103749151e-05,0.0030499761942774056,4.968940847447198e-06,0.15131893918477,0.019757709554338043
35,0.15270540767908097,7.847091754697183e-05,0.0029602867853827774,4.8345630219904135e-06,0.1497451208936982,0.019385605463324435
36,0.15110875782370567,7.795632142731038e-05,0.0028755685109645127,4.7442889054682774e-06,0.14823318931274115,0.019029793854300342
37,0.1495745771229267,7.489297076419018e-05,0.0027943246033973993,4.6341176154959745e-06,0.1467802525195293,0.01868181516636283
38,0.14808312490582465,7.190972253953704e-05,0.00271885602734983,4.531366854291576e-06,0.1453642688784748,0.01836033666279612
39,0.14663979703187943,6.966199601196915e-05,0.0026455704234540464,4.397792003313588e-06,0.1439942266084254,0.018041285360473464
40,0.14525313049554825,6.705925629574427e-05,0.002575790284667164,4.303052645521046e-06,0.14267734021088108,0.017733113743432245
41,0.1439191826879978,6.447446757499114e-05,0.002511649723164737,4.167063998547725e-06,0.14140753296483308,0.017451806467034623
42,0.14263607662916183,6.223471187376992e-05,0.0024494468462653456,4.0688195470727015e-06,0.14018662978289648,0.01717270205513041
43,0.1413774673640728,6.043065605541879e-05,0.0023891893988475204,3.928157264193433e-06,0.13898827796522528,0.016899364823780023
44,0.1401772656738758,5.896382382437019e-05,0.002332402106374502,3.854783339219854e-06,0.1378448635675013,0.01663894708718934
45,0.13901159086823464,5.7303420151901934e-05,0.0022775710630230607,3.7479861252437485e-06,0.13673401980521158,0.01638403710653099
46,0.13786501574516297,5.551570808559513e-05,0.0022255668379366398,3.6448623158433465e-06,0.13563944890722632,0.016143086234803004
47,0.1367602995634079,5.450371614942513e-05,0.0021756674114149065,3.60569259806993e-06,0.134584632151993,0.015908618351674307
48,0.13567756220698357,5.253768929063029e-05,0.0021285409689880907,3.500746825930037e-06,0.13354902123799547,0.015688231232669735
49,0.1346339564025402,5.1371588983308475e-05,0.0020829268207307903,3.4543876016210443e-06,0.1325510295818094,0.015471036255542223
50,0.13361991554498673,5.047276998032305e-05,0.002038954079383984,3.3369614738274532e-06,0.13158096146560275,0.015259357641919146
51,0.1326254316866398,4.9199683977644035e-05,0.001996616216842085,3.232671616237836e-06,0.1306288154697977,0.015054550182800401
52,0.13166102305054664,4.797641710048603e-05,0.0019559064568020405,3.170805691375088e-06,0.1297051165937446,0.01485562250303295
53,0.1307120803296566,4.645146435918723e-05,0.0019164088524412364,3.0646860906068134e-06,0.12879567147721535,0.014661298692577172
54,0.12979018345475196,4.542057344149411e-05,0.0018783668498508633,2.9722570461502905e-06,0.12791181660490109,0.014472333730121493
55,0.12889241617918015,4.4386240249212016e-05,0.0018419880743604153,2.9217488529182156e-06,0.12705042810481973,0.01429089568621144
56,0.12800847232341767,4.410479485151979e-05,0.001806627363199368,2.8353619821204565e-06,0.1262018449602183,0.014113342112503802
