dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,mean_width,coverage
mmlu-pro,None,1.0,0.025,0.05,33,0.0794239491224289,0.8820605512878446
mmlu-pro,None,1.0,0.025,0.05,34,0.08092723786830902,0.8888386805241754
mmlu-pro,None,1.0,0.025,0.05,35,0.08172933757305145,0.8892905558065974
mmlu-pro,None,1.0,0.025,0.05,36,0.08137623220682144,0.8960686850429281
mmlu-pro,None,1.0,0.025,0.05,37,0.08010531961917877,0.8820605512878446
mmlu-pro,None,1.0,0.025,0.05,38,0.08051154017448425,0.8910980569362856
mmlu-pro,None,1.0,0.025,0.05,39,0.0793805792927742,0.8847718029823769
mmlu-pro,None,1.0,0.025,0.05,40,0.08060501515865326,0.886127428829643
mmlu-pro,None,1.0,0.025,0.05,41,0.08034346997737885,0.8843199276999548
mmlu-pro,None,1.0,0.025,0.05,42,0.08150725066661835,0.8874830546769092
mmlu-pro,None,1.0,0.025,0.05,43,0.0811614915728569,0.885223678264799
mmlu-pro,None,1.0,0.025,0.05,44,0.08123350143432617,0.8888386805241754
mmlu-pro,None,1.0,0.025,0.05,45,0.08082013577222824,0.8834161771351108
mmlu-pro,None,1.0,0.025,0.05,46,0.07807645946741104,0.8897424310890195
mmlu-pro,None,1.0,0.025,0.05,47,0.07902342081069946,0.8838680524175327
mmlu-pro,None,1.0,0.025,0.05,48,0.07953348010778427,0.8847718029823769
mmlu-pro,None,1.0,0.025,0.05,49,0.08162504434585571,0.8897424310890195
mmlu-pro,None,1.0,0.025,0.05,50,0.08034391701221466,0.8834161771351108
mmlu-pro,None,1.0,0.025,0.05,51,0.07998555153608322,0.8843199276999548
mmlu-pro,None,1.0,0.025,0.05,52,0.07904793322086334,0.885223678264799
mmlu-pro,None,1.0,0.025,0.05,53,0.0797235369682312,0.8798011748757343
mmlu-pro,None,1.0,0.025,0.05,54,0.07823290675878525,0.8671486669679169
mmlu-pro,None,1.0,0.025,0.05,55,0.08040568977594376,0.885223678264799
mmlu-pro,None,1.0,0.025,0.05,56,0.08021655678749084,0.8716674197921374
mmlu-pro,None,1.0,0.025,0.05,57,0.08008333295583725,0.885675553547221
mmlu-pro,None,1.0,0.025,0.05,58,0.08088807016611099,0.8906461816538636
mmlu-pro,None,1.0,0.025,0.05,59,0.07936110347509384,0.8793492995933123
mmlu-pro,None,1.0,0.025,0.05,60,0.07919921725988388,0.8865793041120651
mmlu-pro,None,1.0,0.025,0.05,61,0.07683596760034561,0.8671486669679169
mmlu-pro,None,1.0,0.025,0.05,62,0.07898782938718796,0.859918662449164
mmlu-pro,None,1.0,0.025,0.05,63,0.07988051325082779,0.8847718029823769
mmlu-pro,None,1.0,0.025,0.05,64,0.0818253606557846,0.8784455490284682
mmlu-pro,None,1.0,0.025,0.05,65,0.08010699599981308,0.8807049254405784
